Date,ReleaseType
2023-01-06 00:00:00,NFP
2023-01-12 00:00:00,CPI
2023-02-01 00:00:00,FOMC
2023-02-03 00:00:00,NFP
2023-02-14 00:00:00,CPI
2023-03-10 00:00:00,NFP
2023-03-14 00:00:00,CPI
2023-03-22 00:00:00,FOMC
2023-04-07 00:00:00,NFP
2023-04-12 00:00:00,CPI
2023-05-03 00:00:00,FOMC
2023-05-05 00:00:00,NFP
2023-05-10 00:00:00,CPI
2023-06-02 00:00:00,NFP
2023-06-13 00:00:00,CPI
2023-06-14 00:00:00,FOMC
2023-07-07 00:00:00,NFP
2023-07-12 00:00:00,CPI
2023-07-26 00:00:00,FOMC
2023-08-04 00:00:00,NFP
2023-08-10 00:00:00,CPI
2023-09-01 00:00:00,NFP
2023-09-13 00:00:00,CPI
2023-09-20 00:00:00,FOMC
2023-10-06 00:00:00,NFP
2023-10-12 00:00:00,CPI
2023-11-01 00:00:00,FOMC
2023-11-03 00:00:00,NFP
2023-11-14 00:00:00,CPI
2023-12-08 00:00:00,NFP
2023-12-12 00:00:00,CPI
2023-12-13 00:00:00,FOMC
2024-01-05 00:00:00,NFP
2024-01-11 00:00:00,CPI
2024-01-31 00:00:00,FOMC
2024-02-02 00:00:00,NFP
2024-02-13 00:00:00,CPI
2024-03-08 00:00:00,NFP
2024-03-12 00:00:00,CPI
2024-03-20 00:00:00,FOMC
2024-04-05 00:00:00,NFP
2024-04-10 00:00:00,CPI
2024-05-01 00:00:00,FOMC
2024-05-03 00:00:00,NFP
2024-05-15 00:00:00,CPI
2024-06-07 00:00:00,NFP
2024-06-12 00:00:00,CPI
2024-06-12 00:00:00,FOMC
2024-07-05 00:00:00,NFP
2024-07-11 00:00:00,CPI
2024-07-31 00:00:00,FOMC
2024-08-02 00:00:00,NFP
2024-08-14 00:00:00,CPI
2024-09-06 00:00:00,NFP
2024-09-11 00:00:00,CPI
2024-09-18 00:00:00,FOMC
2024-10-04 00:00:00,NFP
2024-10-10 00:00:00,CPI
2024-11-01 00:00:00,NFP
2024-11-07 00:00:00,FOMC
2024-11-13 00:00:00,CPI
2024-12-06 00:00:00,NFP
2024-12-11 00:00:00,CPI
2024-12-18 00:00:00,FOMC
